country,week,covid_deaths,non_covid_deaths
Tunisia,32,0,1197
Tunisia,33,3,1304
Tunisia,34,17,1334
Tunisia,35,5,1214
Tunisia,36,17,1184
Tunisia,37,14,1150
Tunisia,38,52,1354
Tunisia,39,55,1321
Tunisia,40,107,1431
Tunisia,41,157,1483
Tunisia,42,148,1712
Tunisia,43,193,1638
Tunisia,44,529,1342
Tunisia,45,525,1244
Tunisia,46,472,1242
Tunisia,47,476,1359
Tunisia,48,398,1393
Tunisia,49,342,1533
Tunisia,50,333,1487
Tunisia,51,264,1567
Tunisia,52,308,1549
Tunisia,1,415,1823
Tunisia,2,477,1753
Tunisia,3,542,1655
Tunisia,4,520,1674
Tunisia,5,460,1554
Tunisia,6,330,1398
Switzerland,1,0,1314
Switzerland,2,0,1366
Switzerland,3,0,1418
Switzerland,4,0,1417
Switzerland,5,0,1426
Switzerland,6,0,1396
Switzerland,7,0,1384
Switzerland,8,0,1369
Switzerland,9,0,1349
Switzerland,10,2,1355
Switzerland,11,20,1376
Switzerland,12,91,1439
Switzerland,13,263,1367
Switzerland,14,395,1484
Switzerland,15,370,1277
Switzerland,16,250,1326
Switzerland,17,203,1174
Switzerland,18,101,1149
Switzerland,19,59,1125
Switzerland,20,18,1135
Switzerland,21,18,1172
Switzerland,22,6,1096
Switzerland,23,2,1169
Switzerland,24,4,1148
Switzerland,25,4,1145
Switzerland,26,2,1178
Switzerland,27,2,1178
Switzerland,28,3,1171
Switzerland,29,2,1112
Switzerland,30,8,1148
Switzerland,31,5,1275
Switzerland,32,5,1167
Switzerland,33,5,1225
Switzerland,34,5,1214
Switzerland,35,4,1169
Switzerland,36,10,1157
Switzerland,37,13,1246
Switzerland,38,20,1223
Switzerland,39,14,1241
Switzerland,40,10,1233
Switzerland,41,16,1318
Switzerland,42,51,1238
Switzerland,43,140,1352
Switzerland,44,316,1378
Switzerland,45,557,1511
Switzerland,46,664,1485
Switzerland,47,663,1494
Switzerland,48,625,1498
Switzerland,49,638,1541
Switzerland,50,651,1564
Switzerland,51,677,1510
Switzerland,52,624,1497
Switzerland,53,549,1438
Switzerland,1,439,1468
Switzerland,2,396,1395
Switzerland,3,352,1409
Switzerland,4,251,1360
Switzerland,5,193,1246
Switzerland,6,224,1186
Switzerland,7,93,1206
Switzerland,8,70,1242
Switzerland,9,58,1223
Switzerland,10,69,1218
Switzerland,11,59,1170
Switzerland,12,62,1209
Switzerland,13,67,1177
Switzerland,14,70,1189
Switzerland,15,45,1208
Switzerland,16,58,1193
Switzerland,17,67,1209
Switzerland,18,47,1172
Switzerland,19,29,1230
Switzerland,20,37,1154
Switzerland,21,26,1183
Switzerland,22,22,1195
Switzerland,23,17,1094
Switzerland,24,15,1186
Switzerland,25,9,1182
Switzerland,26,3,1187
Switzerland,27,2,1169
Switzerland,28,2,1182
Switzerland,29,4,1216
Switzerland,30,12,1154
Switzerland,31,4,1166
Switzerland,32,15,1303
Switzerland,33,28,1227
Switzerland,34,42,1199
Switzerland,35,44,1293
Switzerland,36,29,1310
Switzerland,37,48,1299
Switzerland,38,43,1266
Switzerland,39,50,1270
Switzerland,40,34,1215
Switzerland,41,38,1275
Switzerland,42,27,1310
Switzerland,43,52,1323
Switzerland,44,40,1279
Switzerland,45,52,1378
Switzerland,46,56,1460
Switzerland,47,89,1502
Switzerland,48,122,1597
Switzerland,49,158,1635
Switzerland,50,165,1547
Switzerland,51,153,1436
Switzerland,52,162,1476
Switzerland,1,163,1381
Switzerland,2,120,1390
Switzerland,3,117,1367
Switzerland,4,98,1378
Switzerland,5,102,1363
Switzerland,6,150,1304
Switzerland,7,80,1478
Switzerland,8,66,1374
Switzerland,9,94,1371
Switzerland,10,93,1387
Switzerland,11,157,1386
Switzerland,12,84,1466
Switzerland,13,66,1477
Switzerland,14,34,1415
Switzerland,15,40,1287
Switzerland,16,29,1329
Switzerland,17,36,1239
Switzerland,18,14,1230
Switzerland,19,55,1138
Switzerland,20,10,1251
Switzerland,21,4,1171
Switzerland,22,10,1158
Switzerland,23,10,1153
Switzerland,24,3,1296
Switzerland,25,5,1315
Sweden,1,0,1874.5
Sweden,2,0,1945.2
Sweden,3,0,1885.2
Sweden,4,0,1784.2
Sweden,5,0,1900.3
Sweden,6,0,1775.6
Sweden,7,0,1871.6
Sweden,8,0,1824.6
Sweden,9,0,1825.5
Sweden,10,0,1872.8
Sweden,11,7,1769.8
Sweden,12,53,1858.8
Sweden,13,224,1862.8
Sweden,14,349,2080.7
Sweden,15,498,2117.7
Sweden,16,641,1930.7
Sweden,17,654,1661.7
Sweden,18,485,1803.4
Sweden,19,546,1689.1
Sweden,20,454,1588.1
Sweden,21,319,1652.1
Sweden,22,397,1312.1
Sweden,23,264,1538.1
Sweden,24,215,1557.1
Sweden,25,179,1542.1
Sweden,26,227,1498.1
Sweden,27,140,1479.8
Sweden,28,106,1521.3
Sweden,29,93,1476.3
Sweden,30,78,1518.3
Sweden,31,46,1554.1
Sweden,32,23,1593.2
Sweden,33,20,1542.2
Sweden,34,27,1596.2
Sweden,35,11,1520.2
Sweden,36,22,1542.1
Sweden,37,11,1563.4
Sweden,38,19,1541.4
Sweden,39,15,1595.4
Sweden,40,15,1583.6
Sweden,41,2,1595.7
Sweden,42,24,1642.7
Sweden,43,15,1609.7
Sweden,44,11,1734.2
Sweden,45,84,1640.1
Sweden,46,142,1777.1
Sweden,47,242,1798.1
Sweden,48,275,1735.1
Sweden,49,386,1817.7
Sweden,50,447,1726.5
Sweden,51,479,1876.5
Sweden,52,286,2086.5
Sweden,53,448,1985.7
Sweden,1,706,1663.9
Sweden,2,890,1462.9
Sweden,3,682,1624.9
Sweden,4,586,1543.9
Sweden,5,524,1385.5
Sweden,6,313,1604.5
Sweden,7,221,1671.5
Sweden,8,177,1685.5
Sweden,9,177,1535.2
Sweden,10,143,1716.2
Sweden,11,116,1621.2
Sweden,12,140,1630.2
Sweden,13,96,1623.6
Sweden,14,123,1628.1
Sweden,15,167,1538.1
Sweden,16,135,1601.1
Sweden,17,125,1539.9
Sweden,18,125,1601.1
Sweden,19,102,1606.1
Sweden,20,91,1506.1
Sweden,21,85,1476.1
Sweden,22,72,1488.7
Sweden,23,51,1508.8
Sweden,24,0,1518.8
Sweden,25,45,1496.8
Sweden,26,12,1524.9
Sweden,27,12,1573
Sweden,28,6,1603
Sweden,29,5,1561
Sweden,30,5,1634.5
Sweden,31,2,1523.6
Sweden,32,1,1631.6
Sweden,33,10,1578.6
Sweden,34,17,1588.6
Sweden,35,7,1615.7
Sweden,36,11,1650.2
Sweden,37,72,1635.2
Sweden,38,46,1632.2
Sweden,39,47,1676.4
Sweden,40,37,1624.3
Sweden,41,51,1649.3
Sweden,42,37,1704.3
Sweden,43,32,1704.3
Sweden,44,32,1801.5
Sweden,45,25,1751.5
Sweden,46,28,1758.5
Sweden,47,35,1704.5
Sweden,48,25,1802.5
Sweden,49,21,1920.9
Sweden,50,40,1878.9
Sweden,51,34,1915.9
Sweden,52,45,1999
Sweden,1,67,2034.9
Sweden,2,136,1933.9
Sweden,3,161,1857.9
Sweden,4,181,1913.9
Sweden,5,325,1862.8
Sweden,6,321,1686.7
Sweden,7,351,1733.7
Sweden,8,290,1697.7
Sweden,9,370,1583.6
Sweden,10,286,1524.2
Sweden,11,255,1545.2
Sweden,12,136,1630.2
Sweden,13,176,1585.2
Sweden,14,141,1655.9
Sweden,15,99,1563.9
Sweden,16,84,1570.9
Sweden,17,83,1561.6
Sweden,18,52,1638.2
Sweden,19,73,1588.2
Sweden,20,44,1667.2
Sweden,21,36,1548.2
Sweden,22,37,1556.7
Sweden,23,35,1508.7
Spain,1,0,8710
Spain,2,0,9398
Spain,3,0,9917
Spain,4,0,9954
Spain,5,0,9974
Spain,6,0,9192
Spain,7,0,8839
Spain,8,0,8413
Spain,9,0,8379
Spain,10,17,8448
Spain,11,272,9209
Spain,12,1483,11360
Spain,13,5031,14797
Spain,14,5838,15129
Spain,15,4568,12757
Spain,16,3244,10000
Spain,17,2737,7715
Spain,18,2074,6934
Spain,19,1357,7101
Spain,20,942,6594
Spain,21,1189,6454
Spain,22,293,7327
Spain,23,9,7135
Spain,24,0,6849
Spain,25,8,7024
Spain,26,20,7492
Spain,27,42,7593
Spain,28,18,7714
Spain,29,17,7545
Spain,30,12,7815
Spain,31,13,8576
Spain,32,58,8336
Spain,33,116,8054
Spain,34,221,7665
Spain,35,173,7781
Spain,36,407,7370
Spain,37,329,7669
Spain,38,748,7420
Spain,39,737,7327
Spain,40,854,7334
Spain,41,843,7750
Spain,42,846,7748
Spain,43,977,8493
Spain,44,1126,8470
Spain,45,2955,7361
Spain,46,1936,8094
Spain,47,1850,7845
Spain,48,2049,7485
Spain,49,1584,7957
Spain,50,1372,8162
Spain,51,1302,7985
Spain,52,898,8117
Spain,53,1013,8511
Spain,1,1037,9442
Spain,2,1440,10422
Spain,3,2127,10823
Spain,4,2878,9825
Spain,5,3067,8510
Spain,6,3361,7014
Spain,7,2354,7135
Spain,8,2041,6996
Spain,9,1996,6550
Spain,10,1120,7205
Spain,11,652,7428
Spain,12,2100,6099
Spain,13,688,7512
Spain,14,630,7449
Spain,15,653,7305
Spain,16,610,7484
Spain,17,625,7242
Spain,18,576,7491
Spain,19,547,7197
Spain,20,281,7334
Spain,21,285,7153
Spain,22,291,7064
Spain,23,305,7408
Spain,24,151,7656
Spain,25,127,7159
Spain,26,132,7423
Spain,27,92,7451
Spain,28,93,7471
Spain,29,125,8354
Spain,30,265,8102
Spain,31,520,8122
Spain,32,464,8392
Spain,33,666,8093
Spain,34,864,7355
Spain,35,795,7144
Spain,36,495,7405
Spain,37,493,7019
Spain,38,446,6989
Spain,39,234,7321
Spain,40,315,7214
Spain,41,196,7394
Spain,42,158,7587
Spain,43,236,7946
Spain,44,136,7683
Spain,45,169,8554
Spain,46,137,8649
Spain,47,145,8703
Spain,48,204,9173
Spain,49,222,8790
Spain,50,327,9162
Spain,51,311,9469
Spain,52,386,9441
Spain,1,529,9404
Spain,2,825,9867
Spain,3,982,9866
Spain,4,1225,10002
Spain,5,1074,9815
Spain,6,1955,8075
Spain,7,2003,7262
Spain,8,1412,7531
Spain,9,1003,7624
Spain,10,722,7783
Spain,11,568,7962
Spain,12,689,7847
Spain,13,323,8171
Spain,14,563,8138
Spain,15,0,8689
Spain,16,804,7574
Spain,17,548,7953
Spain,18,413,8049
Spain,19,575,8202
Spain,20,508,8320
Spain,21,394,7540
South Korea,1,0,6438
South Korea,2,0,6320
South Korea,3,0,6403
South Korea,4,0,6490
South Korea,5,0,6434
South Korea,6,0,6431
South Korea,7,0,6161
South Korea,8,6,5964
South Korea,9,11,6001
South Korea,10,33,5928
South Korea,11,25,5908
South Korea,12,36,5802
South Korea,13,41,5667
South Korea,14,31,5618
South Korea,15,31,5843
South Korea,16,20,5725
South Korea,17,9,5569
South Korea,18,9,5973
South Korea,19,4,5525
South Korea,20,7,5430
South Korea,21,4,5492
South Korea,22,4,5386
South Korea,23,2,5634
South Korea,24,4,5536
South Korea,25,3,5437
South Korea,26,2,5433
South Korea,27,2,5420
South Korea,28,5,5205
South Korea,29,7,5430
South Korea,30,3,5519
South Korea,31,2,5505
South Korea,32,4,5417
South Korea,33,0,5690
South Korea,34,4,5950
South Korea,35,15,5799
South Korea,36,12,5605
South Korea,37,27,5603
South Korea,38,22,5711
South Korea,39,21,5742
South Korea,40,16,5760
South Korea,41,11,5940
South Korea,42,11,5873
South Korea,43,13,6030
South Korea,44,11,6070
South Korea,45,12,6050
South Korea,46,14,6015
South Korea,47,15,5928
South Korea,48,17,5785
South Korea,49,23,6138
South Korea,50,38,5989
South Korea,51,111,5811
South Korea,52,121,6017
South Korea,53,162,6003
South Korea,1,159,6061
South Korea,2,124,6210
South Korea,3,96,6093
South Korea,4,65,5776
South Korea,5,49,6025
South Korea,6,53,5725
South Korea,7,35,6040
South Korea,8,43,5869
South Korea,9,37,5913
South Korea,10,33,6067
South Korea,11,22,6013
South Korea,12,29,5868
South Korea,13,22,5898
South Korea,14,22,5814
South Korea,15,31,5907
South Korea,16,16,5806
South Korea,17,17,5749
South Korea,18,41,5818
South Korea,19,28,5915
South Korea,20,31,5528
South Korea,21,25,5755
South Korea,22,15,5642
South Korea,23,14,5693
South Korea,24,16,5623
South Korea,25,11,5712
South Korea,26,13,5693
South Korea,27,16,5672
South Korea,28,14,5692
South Korea,29,19,5857
South Korea,30,22,5983
South Korea,31,26,5875
South Korea,32,42,5774
South Korea,33,55,5798
South Korea,34,62,5755
South Korea,35,43,5796
South Korea,36,33,5945
South Korea,37,49,5918
South Korea,38,47,5964
South Korea,39,57,6036
South Korea,40,70,6026
South Korea,41,85,6033
South Korea,42,105,6250
South Korea,43,85,6470
South Korea,44,122,6348
South Korea,45,135,6353
South Korea,46,183,6473
South Korea,47,282,6398
South Korea,48,313,6630
South Korea,49,400,6660
South Korea,50,483,6750
South Korea,51,524,6708
South Korea,52,430,6676
South Korea,1,341,6466
South Korea,2,262,6434
South Korea,3,232,6440
South Korea,4,190,6496
South Korea,5,131,6460
South Korea,6,216,6775
South Korea,7,348,6666
South Korea,8,608,7165
South Korea,9,1038,7760
South Korea,10,1499,8076
South Korea,11,2162,8247
South Korea,12,2429,8037
South Korea,13,2267,7920
South Korea,14,2226,7314
South Korea,15,1545,7212
South Korea,16,1019,6741
South Korea,17,715,6253
South Africa,1,0,10456
South Africa,2,0,9678
South Africa,3,0,9254
South Africa,4,0,8626
South Africa,5,0,9417
South Africa,6,0,10095
South Africa,7,0,9279
South Africa,8,0,9312
South Africa,9,0,9019
South Africa,10,0,9837
South Africa,11,0,9398
South Africa,12,0,9118
South Africa,13,1,9042
South Africa,14,8,8764
South Africa,15,16,8748
South Africa,16,27,8590
South Africa,17,34,8396
South Africa,18,37,8443
South Africa,19,63,8875
South Africa,20,75,8994
South Africa,21,146,9130
South Africa,22,236,9581
South Africa,23,309,10200
South Africa,24,471,10537
South Africa,25,454,11943
South Africa,26,536,12452
South Africa,27,613,13352
South Africa,28,945,14296
South Africa,29,977,15733
South Africa,30,1707,14852
South Africa,31,1498,14137
South Africa,32,2057,12134
South Africa,33,1467,11268
South Africa,34,1310,11078
South Africa,35,994,10560
South Africa,36,798,10581
South Africa,37,648,9837
South Africa,38,513,9497
South Africa,39,436,9823
South Africa,40,562,9379
South Africa,41,735,9784
South Africa,42,735,9837
South Africa,43,536,9914
South Africa,44,332,9970
South Africa,45,513,9966
South Africa,46,417,10433
South Africa,47,639,10105
South Africa,48,594,10007
South Africa,49,628,11251
South Africa,50,1039,11765
South Africa,51,1433,12888
South Africa,52,1982,15542
South Africa,53,2654,17580
South Africa,1,3649,19861
South Africa,2,4027,20926
South Africa,3,3723,18081
South Africa,4,3377,12441
South Africa,5,2229,11603
South Africa,6,1641,10541
South Africa,7,1119,10321
South Africa,8,1001,9716
South Africa,9,706,10259
South Africa,10,614,10305
South Africa,11,821,9348
South Africa,12,566,9606
South Africa,13,306,10316
South Africa,14,302,10545
South Africa,15,455,10353
South Africa,16,414,10223
South Africa,17,281,10647
South Africa,18,281,11191
South Africa,19,496,11227
South Africa,20,589,11184
South Africa,21,591,11699
South Africa,22,566,13001
South Africa,23,777,13562
South Africa,24,884,13060
South Africa,25,1188,14537
South Africa,26,1729,15622
South Africa,27,2631,16252
South Africa,28,2538,18828
South Africa,29,2812,17588
South Africa,30,2525,16549
South Africa,31,2610,14832
South Africa,32,2246,13401
South Africa,33,2382,13399
South Africa,34,2210,12676
South Africa,35,1882,12821
South Africa,36,1408,12276
South Africa,37,1365,10809
South Africa,38,885,10911
South Africa,39,752,10406
South Africa,40,539,10608
South Africa,41,295,10736
South Africa,42,327,10124
South Africa,43,249,9800
South Africa,44,156,10984
South Africa,45,157,10813
South Africa,46,96,10252
South Africa,47,219,9944
South Africa,48,174,11319
South Africa,49,151,11157
South Africa,50,229,11747
South Africa,51,428,12906
South Africa,52,425,13166
South Africa,1,622,11817
South Africa,2,907,10451
South Africa,3,785,9575
South Africa,4,1070,8757
South Africa,5,912,9303
South Africa,6,1168,8771
South Africa,7,1632,7959
South Africa,8,574,9175
South Africa,9,352,9752
South Africa,10,169,9916
South Africa,11,167,9512
South Africa,12,86,9726
South Africa,13,67,10019
South Africa,14,64,10015
South Africa,15,48,10903
South Africa,16,154,10252
South Africa,17,65,10663
South Africa,18,153,11375
South Africa,19,237,11326
South Africa,20,178,10938
South Africa,21,211,11452
South Africa,22,171,11835
South Africa,23,164,12146
South Africa,24,112,12280
South Africa,25,138,11742
South Africa,26,82,12128
South Africa,27,67,11749
South Africa,28,42,10920
South Africa,29,25,11357
Slovenia,1,0,420
Slovenia,2,0,426
Slovenia,3,0,430
Slovenia,4,0,455
Slovenia,5,0,476
Slovenia,6,0,449
Slovenia,7,0,502
Slovenia,8,0,441
Slovenia,9,0,431
Slovenia,10,0,425
Slovenia,11,1,436
Slovenia,12,1,442
Slovenia,13,9,381
Slovenia,14,17,366
Slovenia,15,25,399
Slovenia,16,21,412
Slovenia,17,8,384
Slovenia,18,14,342
Slovenia,19,6,375
Slovenia,20,2,352
Slovenia,21,3,402
Slovenia,22,1,329
Slovenia,23,1,344
Slovenia,24,0,377
Slovenia,25,0,374
Slovenia,26,2,406
Slovenia,27,0,371
Slovenia,28,0,328
Slovenia,29,1,351
Slovenia,30,4,365
Slovenia,31,4,389
Slovenia,32,7,363
Slovenia,33,2,390
Slovenia,34,2,351
Slovenia,35,2,339
Slovenia,36,2,368
Slovenia,37,0,393
Slovenia,38,7,414
Slovenia,39,5,349
Slovenia,40,8,404
Slovenia,41,12,403
Slovenia,42,21,420
Slovenia,43,52,462
Slovenia,44,123,472
Slovenia,45,191,433
Slovenia,46,243,496
Slovenia,47,255,476
Slovenia,48,332,460
Slovenia,49,360,441
Slovenia,50,319,465
Slovenia,51,290,427
Slovenia,52,212,474
Slovenia,53,238,422
Slovenia,1,195,411
Slovenia,2,182,442
Slovenia,3,180,411
Slovenia,4,143,387
Slovenia,5,120,406
Slovenia,6,94,341
Slovenia,7,59,369
Slovenia,8,60,410
Slovenia,9,55,387
Slovenia,10,43,401
Slovenia,11,38,406
Slovenia,12,46,378
Slovenia,13,57,385
Slovenia,14,44,362
Slovenia,15,40,381
Slovenia,16,49,409
Slovenia,17,55,328
Slovenia,18,30,360
Slovenia,19,31,370
Slovenia,20,29,379
Slovenia,21,21,369
Slovenia,22,14,400
Slovenia,23,16,373
Slovenia,24,8,388
Slovenia,25,7,374
Slovenia,26,0,383
Slovenia,27,4,338
Slovenia,28,2,337
Slovenia,29,3,329
Slovenia,30,1,374
Slovenia,31,4,326
Slovenia,32,0,353
Slovenia,33,7,320
Slovenia,34,8,326
Slovenia,35,7,393
Slovenia,36,14,404
Slovenia,37,29,376
Slovenia,38,39,384
Slovenia,39,37,395
Slovenia,40,39,373
Slovenia,41,25,428
Slovenia,42,45,426
Slovenia,43,62,405
Slovenia,44,85,461
Slovenia,45,111,474
Slovenia,46,122,465
Slovenia,47,125,417
Slovenia,48,115,474
Slovenia,49,105,423
Slovenia,50,88,412
Slovenia,51,47,432
Slovenia,52,60,433
Slovenia,1,52,419
Slovenia,2,43,448
Slovenia,3,74,382
Slovenia,4,85,391
Slovenia,5,118,463
Slovenia,6,106,433
Slovenia,7,122,438
Slovenia,8,89,373
Slovenia,9,71,413
Slovenia,10,47,428
Slovenia,11,32,426
Slovenia,12,33,395
Slovenia,13,26,407
Slovenia,14,34,392
Slovenia,15,22,405
Slovenia,16,21,414
Slovenia,17,15,392
Slovenia,18,18,365
Slovenia,19,11,383
Slovenia,20,7,380
Slovenia,21,7,355
Slovenia,22,6,372
Slovenia,23,2,358
Slovenia,24,2,346
Slovakia,1,0,1147
Slovakia,2,0,1109
Slovakia,3,0,1086
Slovakia,4,0,1107
Slovakia,5,0,1159
Slovakia,6,0,1101
Slovakia,7,0,1181
Slovakia,8,0,1088
Slovakia,9,0,1152
Slovakia,10,0,1131
Slovakia,11,0,1122
Slovakia,12,0,1187
Slovakia,13,0,1054
Slovakia,14,1,1080
Slovakia,15,1,1002
Slovakia,16,10,947
Slovakia,17,6,971
Slovakia,18,6,964
Slovakia,19,2,1003
Slovakia,20,2,977
Slovakia,21,0,953
Slovakia,22,0,913
Slovakia,23,0,963
Slovakia,24,0,981
Slovakia,25,0,899
Slovakia,26,0,937
Slovakia,27,0,982
Slovakia,28,0,973
Slovakia,29,0,948
Slovakia,30,0,957
Slovakia,31,1,984
Slovakia,32,2,1063
Slovakia,33,0,963
Slovakia,34,2,958
Slovakia,35,0,1023
Slovakia,36,4,965
Slovakia,37,1,1033
Slovakia,38,1,962
Slovakia,39,5,1037
Slovakia,40,11,1124
Slovakia,41,6,1065
Slovakia,42,27,1177
Slovakia,43,71,1205
Slovakia,44,60,1302
Slovakia,45,132,1305
Slovakia,46,159,1252
Slovakia,47,161,1210
Slovakia,48,145,1280
Slovakia,49,180,1278
Slovakia,50,179,1374
Slovakia,51,380,1236
Slovakia,52,218,1575
Slovakia,53,544,1503
Slovakia,1,601,1488
Slovakia,2,556,1569
Slovakia,3,594,1401
Slovakia,4,574,1397
Slovakia,5,557,1430
Slovakia,6,686,1395
Slovakia,7,620,1389
Slovakia,8,684,1279
Slovakia,9,647,1222
Slovakia,10,692,1092
Slovakia,11,516,1161
Slovakia,12,452,1132
Slovakia,13,529,938
Slovakia,14,540,793
Slovakia,15,541,768
Slovakia,16,389,864
Slovakia,17,271,895
Slovakia,18,253,880
Slovakia,19,205,921
Slovakia,20,68,931
Slovakia,21,47,915
Slovakia,22,65,936
Slovakia,23,35,965
Slovakia,24,39,1009
Slovakia,25,27,1063
Slovakia,26,8,960
Slovakia,27,6,982
Slovakia,28,5,994
Slovakia,29,10,886
Slovakia,30,6,1021
Slovakia,31,1,952
Slovakia,32,3,971
Slovakia,33,3,1008
Slovakia,34,1,892
Slovakia,35,1,995
Slovakia,36,9,1032
Slovakia,37,11,1131
Slovakia,38,27,1127
Slovakia,39,72,1031
Slovakia,40,63,1151
Slovakia,41,115,1087
Slovakia,42,57,1252
Slovakia,43,131,1319
Slovakia,44,195,1310
Slovakia,45,308,1367
Slovakia,46,324,1530
Slovakia,47,413,1510
Slovakia,48,552,1370
Slovakia,49,528,1369
Slovakia,50,660,1098
Slovakia,51,384,1212
Slovakia,52,303,1189
Slovakia,1,261,1146
Slovakia,2,338,926
Slovakia,3,343,873
Slovakia,4,174,994
Slovakia,5,141,1108
Slovakia,6,137,1079
Slovakia,7,145,1213
Slovakia,8,213,1098
Slovakia,9,234,1151
Slovakia,10,231,1119
Slovakia,11,192,1165
Slovakia,12,160,1132
Slovakia,13,147,1108
Slovakia,14,156,1039
Slovakia,15,168,905
Slovakia,16,98,989
Slovakia,17,40,1056
Slovakia,18,99,928
Slovakia,19,63,919
Romania,1,0,5346
Romania,2,0,5376
Romania,3,0,5419
Romania,4,0,5350
Romania,5,0,5432
Romania,6,0,5433
Romania,7,0,5385
Romania,8,0,5211
Romania,9,0,5341
Romania,10,0,5182
Romania,11,0,5097
Romania,12,3,5029
Romania,13,40,5140
Romania,14,108,5082
Romania,15,165,5072
Romania,16,135,4991
Romania,17,168,4924
Romania,18,171,4690
Romania,19,171,4646
Romania,20,146,4724
Romania,21,78,4482
Romania,22,81,4478
Romania,23,67,4843
Romania,24,77,5002
Romania,25,102,4575
Romania,26,100,4727
Romania,27,138,5150
Romania,28,134,4766
Romania,29,142,4585
Romania,30,161,4790
Romania,31,226,5334
Romania,32,287,5031
Romania,33,291,4981
Romania,34,281,4888
Romania,35,306,4913
Romania,36,315,4759
Romania,37,270,4754
Romania,38,272,4795
Romania,39,283,4767
Romania,40,285,5097
Romania,41,408,5388
Romania,42,461,5754
Romania,43,519,5993
Romania,44,676,6334
Romania,45,812,6942
Romania,46,1047,6945
Romania,47,1121,7251
Romania,48,1146,7369
Romania,49,1127,7475
Romania,50,1065,7107
Romania,51,1009,6416
Romania,52,836,6589
Romania,53,749,6298
Romania,1,675,6108
Romania,2,567,5957
Romania,3,555,6420
Romania,4,559,5775
Romania,5,546,5735
Romania,6,485,5451
Romania,7,481,5480
Romania,8,503,5455
