Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
United States,51948,792,11410,1774,2120,706,2572,864,1042,682,12595,3018,2587
United States,52364,747,11465,1788,2088,672,2528,886,1006,758,12770,2948,2930
United States,53593,787,11702,1807,2192,715,2568,879,1023,738,12857,3079,3226
United States,52840,731,11636,1825,2110,668,2445,912,1051,787,12793,2909,3397
United States,53059,766,11577,1725,2195,682,2618,828,1078,779,12796,2946,3369
United States,52542,762,11676,1743,2054,665,2491,841,1014,807,12497,2931,3285
United States,52822,736,11696,1786,2126,643,2527,875,1018,775,12523,3096,3161
United States,52482,765,11549,1703,2162,658,2514,884,967,767,12554,2995,3045
United States,52118,712,11874,1715,2078,620,2579,844,1011,883,12260,2994,2921
United States,52586,766,11555,1766,2100,718,2522,843,1042,867,12708,2978,2800
United States,52570,776,11809,1717,2179,696,2602,887,1084,819,12479,2993,2508
United States,52956,822,11827,1814,2166,686,2600,865,1084,847,12553,3077,2544
United States,52927,774,11701,1846,2130,681,2591,884,1018,939,12593,3064,2371
United States,53629,747,11884,1833,2283,721,2687,842,1009,981,12676,3152,2187
United States,54002,818,11805,1865,2252,734,2658,928,1068,987,13064,3109,2144
United States,54491,803,11699,1876,2340,810,2830,916,1118,1001,13074,3112,2186
United States,54598,809,11685,1939,2372,768,2710,951,1107,1085,13162,3183,2234
United States,55368,849,11929,1924,2352,896,2900,925,1059,1184,13019,3163,2239
United States,55428,803,11852,1845,2317,975,2868,951,1114,1213,13274,3140,2185
United States,56363,814,11969,1993,2279,1076,2972,937,1137,1266,13605,3181,2244
United States,59188,929,12027,2051,2470,1222,3143,1045,1125,1456,14310,3393,2485
United States,60409,895,11869,2144,2562,1627,3296,1028,1109,1544,14497,3299,2578
United States,61476,905,12008,1988,2589,1777,3491,1093,1183,1562,14532,3323,3009
United States,61094,929,12000,2089,2420,1752,3334,1082,1205,1645,14538,3342,3160
United States,62630,952,12020,2235,2617,1680,3383,1069,1209,1735,15181,3306,3283
United States,64724,967,11962,2326,2794,1885,3529,1128,1213,1874,15466,3612,3637
United States,63560,988,11903,2200,2547,1756,3364,1076,1257,2210,14753,3513,3823
United States,61379,931,11802,1998,2547,1429,3362,1052,1153,2139,14234,3352,3648
United States,59306,851,11960,1877,2427,1173,3072,1123,1127,2348,13669,3263,3185
United States,57841,889,11639,1854,2364,1120,3001,1037,1125,2437,13380,3258,2857
United States,58044,845,11817,1991,2267,964,2994,1001,1140,2677,13410,3281,2592
United States,58613,869,12033,1916,2458,959,3064,1004,1124,2866,13445,3282,2309
United States,57095,816,11690,1905,2353,918,2959,1030,1093,2976,13399,3189,2039
United States,57051,783,11912,1867,2261,849,2901,962,1123,3241,13047,3153,2088
United States,56161,807,11526,1820,2195,809,2941,993,1059,3503,12769,3081,1906
United States,54858,829,11378,1705,2144,826,2810,953,1005,3674,12391,3068,1745
United States,53445,767,11239,1656,2102,780,2758,985,1070,3537,12065,2952,1618
United States,48195,715,10203,1490,1943,755,2459,817,958,3418,10810,2731,1356
United States,38223,545,8078,1128,1666,552,2101,673,727,2763,8587,2124,938
Alabama,1009,15,196,25,54,28,86,13,25,25,268,81,0
Alabama,1060,25,197,17,41,27,72,20,23,34,274,68,0
Alabama,976,28,201,24,53,31,73,21,23,24,239,45,0
Alabama,982,16,190,23,54,29,61,11,14,23,284,70,
Alabama,949,15,157,16,58,31,76,17,20,23,265,55,0
Alabama,1028,26,191,24,45,28,70,20,24,27,304,52,0
Alabama,1020,17,193,24,50,35,74,23,18,25,255,81,0
Alabama,1018,17,222,29,47,25,65,12,12,15,285,74,0
Alabama,1093,20,212,28,62,30,88,20,21,25,294,60,
Alabama,953,18,144,25,65,34,60,24,23,22,265,57,0
Alabama,1013,16,199,31,65,30,75,28,27,20,265,69,0
Alabama,986,17,227,25,46,26,67,24,22,16,263,72,
Alabama,989,15,188,23,67,26,75,24,15,21,244,69,23
Alabama,1077,27,202,34,74,23,67,24,22,25,257,68,49
Alabama,1056,25,166,31,63,18,60,20,17,28,265,64,81
Alabama,1053,20,183,35,62,18,67,21,17,19,249,62,89
Alabama,1037,20,200,28,55,24,53,12,17,12,265,63,85
Alabama,1048,17,197,22,57,26,67,19,24,10,271,62,81
Alabama,1084,17,201,28,45,12,58,18,15,22,305,52,116
Alabama,1049,19,203,29,47,15,71,17,21,22,259,49,96
Alabama,1055,22,192,22,62,18,53,15,21,25,282,55,82
Alabama,999,23,161,29,53,21,52,14,15,23,241,47,103
Alabama,1071,27,212,20,48,16,62,19,15,15,290,55,91
Alabama,1031,14,176,23,53,11,65,17,24,19,280,58,81
Alabama,1007,29,198,22,48,12,62,16,17,25,257,55,88
Alabama,1064,12,222,23,60,16,55,15,17,18,266,67,103
Alabama,1112,14,221,30,59,13,60,,18,25,296,49,125
Alabama,1177,17,217,31,62,12,64,14,19,23,305,72,135
Alabama,1201,23,203,24,68,22,71,17,19,24,273,66,192
Alabama,1257,21,212,28,65,17,69,10,20,22,285,78,251
Alabama,1269,15,198,23,56,25,74,21,20,15,310,71,263
Alabama,1288,15,177,32,40,21,76,14,17,27,291,69,264
Alabama,1207,,166,26,60,20,68,21,15,24,291,74,230
Alabama,1219,16,193,22,55,17,58,13,21,26,293,75,209
Alabama,1129,19,191,24,54,17,62,19,20,22,249,56,185
Alabama,1132,22,212,24,61,14,65,12,15,12,258,60,156
Alabama,1148,17,198,28,66,12,59,19,23,21,295,49,138
Alabama,1132,18,226,20,56,17,69,20,20,15,257,62,139
Alabama,1109,21,203,35,65,20,62,13,15,22,261,58,105
Alabama,1010,14,181,28,47,20,55,11,20,10,260,47,111
Alabama,1120,15,189,28,58,18,63,20,21,20,303,61,137
Alabama,1114,20,198,28,60,12,59,19,21,18,259,69,126
Alabama,1056,18,200,16,54,20,54,16,19,15,276,47,119
Alabama,1093,22,187,23,62,23,47,23,12,20,278,60,131
Alabama,1183,15,215,27,54,14,54,18,23,21,296,65,151
Alabama,1186,16,209,27,64,13,62,19,24,21,289,58,176
Alabama,1176,11,195,29,69,17,58,13,27,22,267,61,168
Alabama,1237,24,206,26,57,17,64,14,27,24,291,54,202
Alabama,1259,30,177,32,63,14,66,28,14,22,300,66,251
Alabama,1509,21,228,47,82,21,56,23,24,25,299,70,378
Alabama,1485,13,195,31,71,31,69,17,26,29,310,70,390
Alabama,1554,23,195,46,74,17,66,25,25,25,329,60,452
Alabama,1703,22,201,35,79,21,70,26,26,37,326,77,508
Alabama,1708,21,224,36,70,19,79,27,25,32,336,63,548
Alabama,1745,16,211,47,67,25,63,21,24,26,347,68,596
Alabama,1688,16,194,38,63,19,65,26,33,25,336,63,583
Alabama,1559,20,206,37,63,20,74,24,22,21,311,63,490
Alabama,1410,22,216,24,66,23,69,18,22,26,303,62,347
Alabama,1338,20,200,30,66,15,67,24,19,18,328,77,265
Alabama,1252,31,196,37,62,20,44,27,18,21,312,62,214
Alabama,1219,21,182,22,57,22,59,18,14,16,325,75,170
Alabama,1055,18,203,21,50,22,42,27,27,17,262,58,110
Alabama,1088,12,175,25,46,21,65,16,25,25,268,52,104
Alabama,977,28,166,24,60,18,49,15,22,18,233,51,81
Alabama,1073,28,156,34,47,22,59,24,19,23,302,92,78
Alabama,1003,18,190,26,41,19,69,15,18,23,239,65,67
Alabama,1095,21,204,28,47,20,56,27,23,20,290,69,53
Alabama,1071,25,227,38,49,16,55,19,18,23,268,53,43
Alabama,1010,27,206,36,44,25,49,20,13,15,281,53,45
Alabama,1103,26,216,23,50,21,64,26,25,24,303,58,46
Alabama,1043,16,209,39,41,10,73,24,20,16,266,57,63
Alabama,987,20,180,24,48,15,69,16,30,19,273,59,50
Alabama,1005,16,183,22,59,17,56,16,17,17,290,51,50
Alabama,992,24,210,21,59,17,58,22,18,15,273,54,33
Alabama,982,19,184,23,46,20,65,20,19,17,289,61,36
Alabama,1007,19,199,24,61,18,61,25,15,16,275,68,34
Alabama,1023,24,218,28,35,21,56,12,32,15,270,63,24
Alabama,983,25,163,37,30,16,68,15,20,19,281,63,36
Alabama,946,22,202,25,47,13,45,13,22,17,254,74,22
Alabama,1020,24,206,19,47,19,45,18,15,15,304,57,37
Alabama,971,24,180,33,40,16,62,14,16,20,241,54,43
Alabama,992,23,188,39,46,14,75,15,28,24,260,41,63
Alabama,1080,26,194,30,52,18,55,15,23,23,271,49,109
Alabama,1225,20,197,33,42,15,55,12,19,24,295,70,226
Alabama,1352,20,221,36,50,13,65,26,19,19,287,71,345
Alabama,1477,21,199,34,48,20,78,14,26,17,324,60,420
Alabama,1545,20,195,49,55,13,68,13,16,34,317,68,477
Alabama,1499,17,184,33,42,22,53,19,31,23,301,60,497
Alabama,1649,25,192,34,49,32,68,18,22,27,325,85,548
Alabama,1486,17,194,26,62,22,61,17,22,22,313,53,474
Alabama,1344,22,190,31,60,15,49,12,21,18,251,65,410
Alabama,1388,21,207,31,42,18,64,11,22,22,274,61,366
Alabama,1271,26,195,34,51,21,66,19,17,20,314,63,259
Alabama,1171,16,211,34,50,17,48,17,21,23,232,67,217
Alabama,1116,32,192,25,45,27,63,21,18,25,255,60,157
Alabama,1016,13,184,29,43,12,51,15,22,26,268,44,99
Alabama,1087,23,196,42,51,25,63,17,20,20,270,68,85
Alabama,1108,28,225,29,47,14,70,17,24,28,259,61,86
Alabama,1051,17,181,43,48,11,66,27,23,18,250,65,51
Alabama,1095,26,200,32,60,25,70,16,18,21,272,65,59
Alabama,1148,34,207,29,53,12,62,14,23,12,317,67,69
Alabama,1144,22,202,32,45,19,77,18,26,26,296,66,56
Alabama,1061,15,183,35,58,24,58,17,18,19,295,59,71
Alabama,1059,26,168,29,49,25,56,19,29,16,294,62,74
Alabama,1150,27,194,25,65,23,84,12,25,16,298,82,83
Alabama,1224,23,205,41,60,29,79,20,25,18,284,61,153
Alabama,1444,32,207,45,76,23,81,28,21,20,358,68,245
Alabama,1416,20,217,40,67,24,64,18,27,20,327,67,294
Alabama,1622,28,220,42,72,23,64,28,31,20,359,91,422
Alabama,1577,26,228,54,77,14,71,33,28,19,345,63,401
Alabama,1505,22,207,47,69,27,74,28,32,21,322,70,381
Alabama,1378,16,220,32,60,15,53,12,35,23,337,73,305
Alabama,1221,19,194,34,51,16,73,23,22,18,278,61,240
Alabama,1105,20,173,35,49,15,61,20,27,,279,64,159
Alabama,1069,24,197,31,43,17,77,15,30,11,281,56,106
Alabama,1043,20,194,30,37,16,66,23,23,14,290,54,74
Alabama,1002,17,161,26,43,13,60,16,24,20,277,48,55
Alabama,958,26,170,37,33,22,59,24,27,17,244,65,35
Alabama,992,17,186,38,37,20,40,14,28,18,289,64,30
Alabama,978,19,187,29,44,13,63,24,29,20,266,63,17
Alabama,955,24,169,34,42,17,57,24,27,16,277,49,21
Alabama,951,21,178,26,51,11,59,25,26,18,265,66,16
Alabama,881,17,191,25,29,16,45,21,20,16,232,58,20
Alabama,910,22,191,26,35,15,56,20,27,10,252,43,11
Alabama,947,28,191,27,51,15,58,13,24,12,248,61,15
Alabama,1002,31,203,20,43,16,45,18,24,19,293,58,11
Alabama,951,17,183,32,61,15,53,23,24,16,227,64,19
Alabama,979,22,212,27,55,13,48,22,20,23,258,49,26
Alabama,963,25,186,30,55,,40,23,21,10,285,53,25
Alabama,977,26,186,32,44,15,58,14,24,18,270,66,21
Alabama,1008,25,196,25,55,11,55,24,27,16,282,48,42
Alabama,937,23,158,26,51,,56,14,21,20,264,57,45
Alabama,1011,21,204,24,52,11,45,31,23,23,284,60,65
Alabama,1036,24,205,32,39,17,53,19,24,16,280,63,57
Alabama,991,20,192,28,46,13,56,18,20,23,260,59,62
Alabama,1004,19,184,26,49,17,59,24,20,23,250,61,68
Alabama,1004,22,191,28,46,,60,14,22,23,256,52,72
Alabama,1005,11,212,29,48,,55,31,22,24,259,51,56
Alabama,970,19,173,25,50,19,47,18,21,25,270,56,50
Alabama,976,27,183,23,37,10,49,13,24,25,265,56,53
Alabama,964,19,195,35,47,16,43,15,31,11,254,61,55
Alabama,1030,20,203,22,56,13,51,11,23,18,266,76,44
Alabama,1005,27,175,32,45,18,65,18,27,15,271,50,46
Alabama,996,24,215,24,35,19,50,19,21,25,256,85,29
Alabama,1013,10,187,26,57,16,71,13,32,29,284,63,23
Alabama,1045,22,197,24,52,22,68,30,32,29,293,48,20
Alabama,1075,20,211,25,46,20,56,23,23,19,283,70,21
Alabama,1032,21,190,18,46,16,60,23,29,24,296,63,29
Alabama,1042,26,179,32,40,17,72,20,14,28,285,70,18
Alabama,982,13,189,26,44,24,62,30,25,16,261,49,18
Alabama,1061,24,191,27,49,24,53,24,31,25,312,58,25
Alabama,1070,22,198,30,56,27,66,23,17,20,310,55,25
Alabama,1139,22,227,35,57,31,62,22,23,22,325,48,30
Alabama,1105,19,201,29,51,35,79,18,24,30,272,59,39
Alabama,1030,16,185,30,37,27,66,21,25,21,315,57,43
Alabama,1137,28,208,35,61,22,65,20,28,15,318,70,34
Alabama,1180,28,194,32,69,24,67,31,24,33,314,80,42
Alabama,1123,39,194,34,50,27,70,23,26,36,280,50,57
Alabama,1104,24,194,25,49,20,61,25,26,29,309,69,61
Alabama,1162,22,248,21,48,26,77,26,25,26,305,53,58
Alabama,1052,19,185,23,42,21,63,17,35,30,283,66,55
Alabama,1073,23,217,29,54,17,52,12,20,47,262,66,54
Alabama,1129,27,222,30,40,15,68,26,34,40,295,55,29
Alabama,1064,22,206,26,53,22,81,19,29,45,267,51,39
Alabama,1089,20,196,32,41,10,54,21,33,45,300,69,48
Alabama,964,21,203,19,50,24,59,21,25,36,250,57,19
Alabama,946,19,154,28,31,20,58,24,22,42,253,62,23
Alabama,898,16,161,26,37,11,68,15,10,44,244,50,16
Alabama,882,20,191,16,36,20,51,19,30,35,213,46,19
Alabama,664,11,150,17,26,13,38,12,15,22,177,40,15
Alaska,71,,16,,,0,,0,,0,17,,0
Alaska,93,,22,,,0,,,,0,24,,0
Alaska,83,,21,,,0,,,,0,15,,0
Alaska,82,,21,,,0,,0,,,19,,0
Alaska,74,,17,,,,,,0,,20,,0
Alaska,75,0,15,,,,,,,,22,,0
Alaska,74,,20,,,0,,,,0,19,,0
Alaska,64,,16,,,,,,0,,,,0
Alaska,76,,18,,0,,,,,,14,,0
Alaska,68,,20,0,,,,,,0,15,,0
Alaska,80,,20,,0,,,,0,,22,,0
Alaska,55,0,,,,,,,,,10,,0
Alaska,75,,16,,,,,,,0,15,,
Alaska,84,,21,,,,,,0,0,14,,
Alaska,71,,15,,,,,,,,20,,
Alaska,71,0,17,,,,,0,,0,13,,
Alaska,55,,12,0,,,,,,0,12,0,0
Alaska,78,,17,,,,,,0,,18,,0
Alaska,77,,20,,,,,,0,0,13,,
Alaska,68,0,18,,0,,,0,,,20,,0
Alaska,68,0,19,,,0,,0,0,0,17,,0
Alaska,82,,23,,,0,,0,,,18,,0
Alaska,66,0,16,,,,,,0,,19,,0
Alaska,71,,19,,,,,,0,0,16,,
Alaska,74,0,28,0,,,,0,,,15,,0
Alaska,67,0,16,,,,,,0,,15,,0
Alaska,64,,16,,,0,,0,,,17,,
Alaska,83,,20,,,0,,0,,,19,,
Alaska,72,0,20,,,0,,0,,,12,,
Alaska,76,0,20,,,,,0,,,19,,
Alaska,83,0,17,,,0,,,,0,18,,
Alaska,86,,15,,,0,,0,,,20,,
Alaska,66,0,15,,,0,,0,,,17,,
Alaska,101,,25,,,,,0,0,,27,,
Alaska,75,,23,,,0,,0,0,,11,,
Alaska,89,,20,,,,,,0,0,17,,
Alaska,72,,22,,,0,,0,,,12,,
Alaska,79,,16,,,0,,,,,10,11,
Alaska,96,,18,,,0,,,,,18,,
Alaska,64,0,,,,0,,,0,,19,,
Alaska,97,,20,,,,,,,,26,,
Alaska,91,,25,,,0,,,,0,14,,10
Alaska,89,0,17,,,,,0,,,27,,
Alaska,94,0,30,,,,,0,,,13,,10
Alaska,91,0,22,,,,,0,,0,19,,
Alaska,99,0,21,,,,,0,,,18,,16
Alaska,108,0,22,,,0,,0,,,18,,15
Alaska,107,,20,,,0,,,,,18,,21
Alaska,102,,17,,,,,0,,0,,,31
Alaska,118,0,24,,,,,0,0,,26,,24
Alaska,91,,19,,,,0,0,,0,16,,20
Alaska,100,,17,,,,0,,,0,24,,24
Alaska,88,,17,,,0,,,0,,11,,10
Alaska,97,,16,,,,,,,,25,,13
Alaska,117,,26,,,,,,,,27,,
Alaska,85,,25,,,0,,,0,0,16,,
Alaska,79,,18,,,0,,0,0,,15,,
Alaska,75,,20,,,0,,,,0,10,,
Alaska,76,,18,0,,0,,,,0,18,,
Alaska,77,,,,,0,,,,0,19,,
Alaska,82,,14,,,,,,,,18,,
Alaska,84,,16,,0,,,,,,20,,
Alaska,73,,17,,0,,,,,,17,,
Alaska,82,0,22,,,0,,,0,0,18,,
Alaska,75,,15,,,,,,,0,18,,
Alaska,75,0,22,,,,,,,,17,,
